Year,Anomaly_in,Anomaly_mm
1901,-0.838933524,-21.30891151
1902,-1.961768776,-49.82892691
1903,-0.571216844,-14.50890784
1904,-1.076335227,-27.33891477
1905,-1.129484862,-28.68891549
1906,-0.272397785,-6.918903739
1907,-0.508618385,-12.91890698
1908,-0.181059153,-4.598902486
1909,0.080358311,2.041101099
1910,-0.004287404,-0.108900062
1911,-1.196020331,-30.37891641
1912,-0.907831199,-23.05891245
1913,-1.094839174,-27.80891502
1914,-1.205862856,-30.62891654
1915,-0.432634092,-10.98890594
1916,1.72169778,43.73112361
1917,0.56027983,14.23110768
1918,-0.435389999,-11.05890597
1919,-1.387359017,-35.23891903
1920,-0.13263393,-3.368901822
1921,0.43429551,11.03110595
1922,0.718941333,18.26110986
1923,0.350043496,8.891104798
1924,0.41067345,10.43110563
1925,-0.377909653,-9.598905186
1926,-0.646020034,-16.40890886
1927,0.405161636,10.29110555
1928,0.068547281,1.741100937
1929,-0.208618223,-5.298902864
1930,-1.202713248,-30.5489165
1931,-0.567279834,-14.40890778
1932,-0.553894,-14.0689076
1933,0.141381966,3.591101936
1934,0.335082858,8.511104593
1935,-0.044838607,-1.138900618
1936,0.267759987,6.80110367
1937,-0.251925333,-6.398903458
1938,-0.105468561,-2.678901449
1939,0.230752093,5.861103162
1940,-1.023185592,-25.98891404
1941,-0.96728005,-24.56891327
1942,-0.125941013,-3.19890173
1943,-0.243263911,-6.178903339
1944,-0.204287512,-5.188902805
1945,-0.159011897,-4.038902184
1946,-0.235783592,-5.988903237
1947,0.760279938,19.31111043
1948,0.271303296,6.891103718
1949,0.002405513,0.06110003
1950,1.146500619,29.12111572
1951,-0.246019818,-6.248903377
1952,0.026027573,0.661100354
1953,0.561854634,14.2711077
1954,1.526422084,38.77112093
1955,1.55240635,39.43112129
1956,1.901225436,48.29112607
1957,0.149255986,3.791102044
1958,0.597287724,15.17110819
1959,1.008705269,25.62111383
1960,0.919728843,23.36111261
1961,0.83980754,21.33111152
1962,0.521303431,13.24110715
1963,-0.064129956,-1.628900882
1964,0.39492541,10.03110541
1965,-0.670429496,-17.0289092
1966,0.331145848,8.411104539
1967,0.376421463,9.56110516
1968,-0.465704976,-11.82890639
1969,0.126421328,3.211101731
1970,0.740988589,18.82111016
1971,-0.012161424,-0.30890017
1972,-0.626334984,-15.90890859
1973,1.509886642,38.35112071
1974,1.14689432,29.13111573
1975,1.110280127,28.20111523
1976,-0.257830848,-6.548903539
1977,-0.447201029,-11.35890614
1978,0.365397835,9.281105009
1979,0.888626464,22.57111219
1980,0.377208865,9.581105171
1981,0.533508162,13.55110731
1982,-0.712161802,-18.08890977
1983,-1.086177752,-27.5889149
1984,0.019334656,0.491100262
1985,-0.184602462,-4.688902535
1986,-0.809012248,-20.5489111
1987,-1.322398352,-33.58891814
1988,0.84768156,21.53111162
1989,0.589020003,14.96110808
1990,0.117366205,2.981101607
1991,-0.662555476,-16.82890909
1992,-1.575154394,-40.00892161
1993,-0.997595027,-25.33891369
1994,-0.161767804,-4.108902222
1995,-0.604287728,-15.34890829
1996,0.683901944,17.37110938
1997,-0.146019764,-3.708902006
1998,0.407130141,10.34110558
1999,1.33980781,34.03111837
2000,1.890201808,48.01112592
2001,-0.125153611,-3.178901719
2002,-0.477516006,-12.12890655
2003,0.148074883,3.761102028
2004,0.614610568,15.61110843
2005,0.409886048,10.41110562
2006,1.449256688,36.81111988
2007,0.420515975,10.68110577
2008,1.30831173,33.23111794
2009,-0.17987805,-4.56890247
2010,2.15476888,54.73112955
2011,1.959886885,49.78112688
2012,0.15870481,4.031102174
2013,0.134689049,3.421101845
2014,0.007129925,0.181100095
2015,-0.055468534,-1.408900764